,,,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Int,Yds,TD,PD
145,Terrell Buckley,1992,2005,1-5,TOT,NFL,209,131,50,793,6,64
146,Captain Munnerlyn,2009,2018,7-216,TOT,NFL,154,85,12,263,5,64
147,Julian Peterson,2000,2010,1-16,TOT,NFL,158,147,8,65,0,64
148,Jimmy Smith,2011,2018,1-27,RAV,NFL,98,78,13,165,2,64
149,Antoine Cason,2008,2014,1-27,TOT,NFL,110,60,16,362,2,63
150,Chris Crocker,2003,2013,3-84,TOT,NFL,151,110,15,276,2,63
151,Marcus Peters,2015,2018,1-18,TOT,NFL,61,61,22,587,3,63
152,Kyle Fuller,2014,2018,1-14,CHI,NFL,64,62,15,157,0,62
153,Brice McCain,2009,2017,6-188,TOT,NFL,132,41,11,223,2,62
154,Lawyer Milloy,1996,2010,2-36,TOT,NFL,234,213,25,205,1,62
155,Renaldo Hill,2001,2010,7-202,TOT,NFL,141,114,19,301,1,61
156,Dre Kirkpatrick,2012,2018,1-17,CIN,NFL,93,61,10,175,2,61
157,Quintin Mikell,2003,2013,,TOT,NFL,169,103,12,100,0,61
158,Tyrone Poole,1995,2008,1-22,TOT,NFL,144,112,18,231,0,61
159,Cary Williams,2008,2015,7-229,TOT,NFL,97,75,9,105,1,61
160,Keith Brooking,1998,2012,1-12,TOT,NFL,225,193,13,185,0,60
161,Michael Griffin,2007,2016,1-19,TOT,NFL,154,139,25,328,1,60
162,R.W. McQuarters,1998,2008,1-28,TOT,NFL,157,81,14,415,3,60
163,Bradley Roby,2014,2018,1-31,DEN,NFL,79,29,7,121,2,60
164,Logan Ryan,2013,2018,3-83,TOT,NFL,93,69,13,167,1,60
165,Malcolm Butler,2014,2018,,TOT,NFL,75,59,11,126,1,59
166,Dwight Smith,2001,2008,3-84,TOT,NFL,117,83,22,301,1,59
167,Greg Wesley,2000,2007,3-85,KAN,NFL,118,103,29,542,0,59
168,Roy Williams,2002,2010,1-8,TOT,NFL,114,110,20,307,3,59
169,Rod Woodson*,1987,2003,1-10,TOT,NFL,238,229,71,1483,12,59
170,Kenny Wright,1999,2007,4-120,TOT,NFL,133,58,7,13,0,59
171,A.J. Bouye,2013,2018,,TOT,NFL,79,48,13,208,1,58
172,Tarell Brown,2007,2015,5-147,TOT,NFL,117,63,11,147,1,58
173,Jason Craft,1999,2008,5-160,TOT,NFL,148,49,14,133,0,58
174,Bradley Fletcher,2009,2015,3-66,TOT,NFL,73,54,8,107,1,58
175,Kevin Kaesviharn,2001,2009,,TOT,NFL,127,58,17,114,0,58
176,Byron Maxwell,2011,2017,6-173,TOT,NFL,83,52,11,80,0,58
177,Shawntae Spencer,2004,2012,2-58,TOT,NFL,100,74,11,87,1,58
178,Denard Walker,1997,2005,3-75,TOT,NFL,134,99,13,203,2,58
179,Brandon Browner,2011,2015,,TOT,NFL,61,61,12,340,2,57
180,Corey Chavous,1998,2008,2-33,TOT,NFL,171,131,20,237,2,57
181,Fabian Washington,2005,2010,1-23,TOT,NFL,81,58,6,16,0,57
182,Bryant McFadden,2005,2011,2-62,TOT,NFL,96,51,9,86,1,56
183,Jason Webster,2000,2008,2-48,TOT,NFL,90,74,11,228,2,56
184,Willie Williams,1993,2005,6-162,TOT,NFL,188,115,26,302,4,56
185,Ryan Clark,2002,2014,,TOT,NFL,177,152,16,137,0,55
186,Jason David,2004,2008,4-125,TOT,NFL,75,61,16,169,1,55
187,Doug Evans,1993,2003,6-141,TOT,NFL,163,120,28,323,2,55
188,Corey Fuller,1995,2004,2-55,TOT,NFL,152,127,17,145,1,55
189,Cedric Griffin,2006,2012,2-48,TOT,NFL,89,72,8,0,0,55
190,Stanford Routt,2005,2012,2-38,TOT,NFL,119,60,12,115,1,55
191,Jason Sehorn,1994,2003,2-59,TOT,NFL,117,76,19,228,4,55
192,Yeremiah Bell,2004,2013,6-213,TOT,NFL,142,107,8,95,0,54
193,Patrick Chung,2009,2018,2-34,TOT,NFL,140,110,11,171,1,54
194,Ronald Darby,2015,2018,2-50,TOT,NFL,46,45,6,106,0,54
195,Davon House,2011,2018,4-131,TOT,NFL,87,46,7,32,0,54
196,Ken Irvin,1995,2005,4-109,TOT,NFL,147,72,10,84,0,54
197,Mike Jenkins,2008,2015,1-25,TOT,NFL,101,68,10,22,1,54
198,Reshad Jones,2010,2018,5-163,MIA,NFL,124,109,21,361,4,54
199,Domonique Foxworth,2005,2011,3-97,TOT,NFL,78,44,8,103,0,53
200,Michael Huff,2006,2013,1-7,TOT,NFL,118,94,11,75,0,53
