,,,,,,,Games,Games,Tackles,Tackles,Tackles,Tackles,Tackles,Tackles
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits
174,DeMarcus Ware,2005,2016,1-11,TOT,NFL,178,173,138.5,505,154,659,171,229
175,Barrett Ruud,2005,2012,2-36,TOT,NFL,116,78,6.0,481,177,658,22,12
176,George Koonce,1992,2000,,TOT,NFL,128,118,9.0,507,145,652,11,
177,Justin Durant,2007,2017,2-48,TOT,NFL,128,95,4.5,500,148,648,50,12
178,Jerrell Freeman,2012,2017,,TOT,NFL,70,70,12.0,415,232,647,29,21
179,Carlos Emmons,1996,2006,7-242,TOT,NFL,147,121,19.0,479,166,645,34,1
180,Jared Allen,2004,2015,4-126,TOT,NFL,187,181,136.0,498,144,642,171,228
181,Derrick Thomas*,1989,1999,1-4,KAN,NFL,169,157,126.5,601,41,642,10,
182,Winfred Tubbs,1994,2000,3-79,TOT,NFL,98,86,10.5,473,166,639,12,
183,Calais Campbell,2008,2018,2-50,TOT,NFL,170,152,81.5,473,162,635,141,176
184,Phil Hansen,1991,2001,2-54,BUF,NFL,156,148,61.5,496,138,634,17,
185,Carlton Bailey,1988,1997,9-235,TOT,NFL,142,87,10.0,562,70,632,,
186,Zach Brown,2012,2018,2-52,TOT,NFL,94,74,17.5,445,187,632,57,32
187,DeAndre Levy,2009,2016,3-76,DET,NFL,95,86,3.5,454,178,632,50,16
188,Jason McCourty,2009,2018,6-203,TOT,NFL,138,116,1.0,518,113,631,18,1
189,Marcus Washington,2000,2008,2-59,TOT,NFL,131,113,37.5,455,174,629,64,14
190,Kevin Burnett,2005,2013,2-42,TOT,NFL,136,75,20.0,491,137,628,51,34
191,Kevin Carter,1995,2008,1-6,TOT,NFL,224,219,104.5,446,181,627,87,28
192,Michael Bankston,1992,2000,4-100,TOT,NFL,144,121,27.0,456,167,623,11,
193,Neil Smith,1988,2000,1-2,TOT,NFL,191,162,104.5,582,41,623,8,
194,Rey Maualuga,2009,2017,2-38,TOT,NFL,120,108,4.0,367,255,622,21,9
195,Ernie Sims,2006,2013,1-9,TOT,NFL,109,87,5.5,419,203,622,26,14
196,Trace Armstrong,1989,2003,1-12,TOT,NFL,211,129,106.0,541,77,618,35,
197,Trent Cole,2005,2016,5-146,TOT,NFL,176,154,90.5,468,150,618,133,160
198,Demorrio Williams,2004,2012,4-101,TOT,NFL,138,68,7.5,478,140,618,38,9
199,Mike Brown,2000,2009,2-39,TOT,NFL,116,115,7.0,500,115,615,14,6
200,Bryant Young,1994,2007,1-7,SFO,NFL,208,208,89.5,510,104,614,93,22
