,,,,,,,Games,Games,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Player,From,To,Draft,Tm,Lg,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts
171,Tommy Brooker,1962,1966,16-211 17-131AFL,KAN,AFL,55,,3,149,149,100.0,41,85,48.2,,,290
172,Harrison Butker,2017,2018,7-233,KAN,NFL,29,0,0,93,97,95.9,62,69,89.9,,,279
173,Cliff Patton,1946,1951,,TOT,NFL,64,35,0,179,185,96.8,33,69,47.8,,,278
174,George Blair,1961,1964,6-72,SDG,AFL,46,,0,122,135,90.4,50,80,62.5,,,272
175,Dave Rayner,2005,2011,6-202,TOT,NFL,59,0,0,77,78,98.7,65,90,72.2,,,272
176,Keith Lincoln,1961,1968,5-61 2-15AFL,TOT,AFL,99,14,40,16,17,94.1,5,12,41.7,,,271
177,Charlie Gogolak,1966,1972,1-6 7-56AFL,TOT,NFL,55,0,0,114,117,97.4,52,93,55.9,,,270
178,Johnny Lujack,1948,1951,1-4,CHI,NFL,45,33,21,130,136,95.6,4,9,44.4,,,268
179,Jack Spikes,1960,1967,1-6,TOT,AFL,86,16,21,75,82,91.5,20,59,33.9,1,,263
180,Harvey Johnson,1946,1951,6-43,TOT,TOT,65,7,0,178,180,98.9,28,52,53.8,,,262
181,Jose Cortez,1999,2005,,TOT,NFL,55,0,0,99,100,99.0,53,74,71.6,,,258
182,Ken Willis,1990,1992,,TOT,NFL,47,0,0,90,90,100.0,55,80,68.8,,,255
183,Dick Poillon,1942,1949,,WAS,NFL,54,28,10,127,139,91.4,20,38,52.6,,,247
184,Dick Van Raaphorst,1964,1967,10-138,TOT,TOT,42,,0,112,114,98.2,45,90,50.0,,,247
185,Joe Vetrano,1946,1949,,SFO,AAFC,53,5,2,187,203,92.1,16,34,47.1,,,247
186,Charlie Durkee,1967,1972,,NOR,NFL,46,0,0,87,88,98.9,52,101,51.5,,,243
187,Ka'imi Fairbairn,2017,2018,,HTX,NFL,32,0,0,71,76,93.4,57,67,85.1,,,242
