,,,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G
183,Lorenzo White\WhitLo00,1988,1995,1-22,TOT,NFL,107,50,1062,4242,3.99,30,39.6
184,Rashard Mendenhall\MendRa00,2008,2013,1-23,TOT,NFL,72,63,1081,4236,3.92,37,58.8
185,Tommy Mason\MasoTo00,1961,1971,1-1 1-2AFL,TOT,NFL,124,67,1040,4203,4.04,32,33.9
186,Tony Canadeo*\CanaTo00,1941,1952,9-77,GNB,NFL,116,80,1025,4197,4.09,26,36.2
187,Carl Garrett\GarrCa00,1969,1977,3-58,TOT,TOT,110,67,1031,4197,4.07,28,38.2
188,Mike Thomas\ThomMi00,1975,1980,5-108,TOT,NFL,77,62,1087,4196,3.86,19,54.5
189,Earnest Jackson\JackEa00,1983,1988,8-202,TOT,NFL,81,53,1059,4167,3.93,22,51.4
190,Dalton Hilliard\HillDa00,1986,1993,2-31,NOR,NFL,108,43,1126,4164,3.70,39,38.6
191,Ryan Grant\GranRy00,2007,2012,,TOT,NFL,68,53,956,4148,4.34,27,61.0
192,Errict Rhett\RhetEr00,1994,2000,2-34,TOT,NFL,86,47,1174,4143,3.53,29,48.2
193,Mercury Morris\MorrMe00,1969,1976,3-63,TOT,TOT,99,42,804,4133,5.14,31,41.7
194,Shonn Greene\GreeSh00,2009,2014,3-65,TOT,NFL,85,36,993,4110,4.14,24,48.4
195,Johnny Johnson\JohnJo00,1990,1994,7-169,TOT,NFL,72,58,1046,4078,3.90,21,56.6
196,Tony Galbreath\GalbTo00,1976,1987,2-32,TOT,NFL,170,73,1031,4072,3.95,34,24.0
197,Mike Anderson\AndeMi00,2000,2007,6-189,TOT,NFL,98,51,919,4067,4.43,37,41.5
198,Ezekiel Elliott\ElliEz00,2016,2018,1-4,DAL,NFL,40,40,868,4048,4.66,28,101.2
199,Alan Ameche\AmecAl00,1955,1960,1-3,CLT,NFL,70,66,964,4045,4.20,40,57.8
200,Cadillac Williams\WillCa02,2005,2011,1-5,TOT,NFL,81,58,1055,4038,3.83,21,49.9
