,,,,,,,Games,Games,Punting,Punting,Punting,Punting
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Pnt,Yds,Y/P,Blck
177,Jordan Berry\BerrJo00,2015,2018,,PIT,NFL,64,0,254,11127,43.81,1
178,Mike Connell\ConnMi20,1978,1981,10-260,TOT,NFL,48,0,254,9837,38.73,1
179,Tom Janik\JaniTo00,1963,1971,12-167 3-21AFL,TOT,TOT,114,13,253,9890,39.09,1
180,Lac Edwards\EdwaLa01,2016,2018,7-235,NYJ,NFL,48,0,251,11200,44.62,1
181,Drew Butler\ButlDr00,2012,2016,,TOT,NFL,54,0,248,10627,42.85,4
182,Chuck Latourette\LatoCh20,1967,1971,,CRD,NFL,55,5,248,10049,40.52,1
183,Ruben Rodriguez\RodrRu20,1987,1992,5-131,TOT,NFL,53,0,238,9640,40.50,2
184,Ryan Plackemeier\PlacRy20,2006,2008,7-239,TOT,NFL,43,0,236,9955,42.18,1
185,Jon Kilgore\KilgJo20,1965,1969,,TOT,NFL,47,,234,9590,40.98,4
186,Jim Miller\MillJi22,1980,1987,3-65,TOT,NFL,45,0,234,9382,40.09,1
187,Riley Dixon\DixoRi00,2016,2018,7-228,TOT,NFL,48,0,233,10625,45.60,2
188,Tom Gilburg\GilbTo21,1961,1965,2-21 3-21AFL,CLT,NFL,69,10,232,9606,41.41,0
189,Dick Deschaine\DescDi20,1955,1958,,TOT,NFL,48,,231,9777,42.32,2
190,Glenn Dobbs\DobbGl20,1946,1949,1-3,TOT,AAFC,49,30,231,10721,46.41,7
191,Steve Spurrier\SpurSt00,1967,1976,1-3,TOT,NFL,106,38,230,8818,38.34,1
192,Frank Reagan\ReagFr20,1941,1951,3-22,TOT,NFL,68,24,227,9288,40.92,3
193,Neil Clabo\ClabNe20,1975,1977,10-258,MIN,NFL,41,0,225,8977,39.90,2
194,Wayne Crow\CrowWa00,1960,1963,8-85,TOT,AFL,47,3,225,8941,39.74,2
195,Pat Brady\BradPa21,1952,1954,13-155,PIT,NFL,36,,223,9932,44.54,0
196,Ernie Koy\KoyxEr00,1965,1970,11-141 3-18AFL,NYG,NFL,79,36,223,8583,38.49,0
197,Mike Patrick\PatrMi20,1975,1978,,NWE,NFL,43,0,222,8481,38.20,3
198,Billy Atkins\AtkiBi00,1958,1964,5-59,TOT,TOT,59,19,221,9203,41.64,2
199,Daniel Sepulveda\SepuDa20,2007,2011,4-112,PIT,NFL,52,0,221,9657,43.70,1
200,Chris Norman\NormCh20,1984,1986,,DEN,NFL,38,0,218,8782,40.28,3
